old_name	name	source	shape	disposition	confidence	reason
RecoilApp_IState	RecoilApp_IState	src/Battlesport/recoil_app.h:48	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
RecoilApp_StateQueueItem	RecoilApp_StateQueueItem	src/Battlesport/recoil_app.h:77	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
RecoilApp_StateQueueBlock	RecoilApp_StateQueueBlock	src/Battlesport/recoil_app.h:131	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
RecoilApp_StateQueue	RecoilApp_StateQueue	src/Battlesport/recoil_app.h:157; src/Battlesport/recoil_app.h:164	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
RecoilApp_FmvScript	CRecoilAppFmvScript	src/Battlesport/recoil_app.h:221	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
RecoilApp_AttractFmvState	CRecoilAppAttractFmvState	src/Battlesport/recoil_app.h:250	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
RecoilApp_IntroFmvState	CRecoilAppIntroFmvState	src/Battlesport/recoil_app.h:264	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
RecoilApp_MainMenuPrepState	RecoilApp_MainMenuPrepState	src/Battlesport/recoil_app.h:288	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
RecoilApp_LeaveNetworkState	RecoilApp_LeaveNetworkState	src/Battlesport/recoil_app.h:302	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
RecoilApp_MissionFmvState	RecoilApp_MissionFmvState	src/Battlesport/recoil_app.h:315	class/interface	deferred	Inferred or retained external spelling	Defer class spelling change: four existing governed folded-alias bindings embed these three class names. Preserve those accepted alias source bindings in this names-only pass.
RecoilApp_PlayState	CRecoilAppPlayState	src/Battlesport/recoil_app.h:329	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
RecoilApp_MpExitDialogState	RecoilApp_MpExitDialogState	src/Battlesport/recoil_app.h:346	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
RecoilApp_MfcOleModule	RecoilApp_MfcOleModule	src/Battlesport/recoil_app.h:363	class/interface	retained	Inferred or retained external spelling	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
RecoilApp	RecoilApp	src/Battlesport/recoil_app.h:391	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
RecoilStateBase	RecoilStateBase	src/Battlesport/recoil_state_base.h:12	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
RecoilStateMainMenuTransition	RecoilStateMainMenuTransition	src/Battlesport/recoil_state_main_menu_transition.h:34	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiMainMenuDialog_CreditsButton	CHudUiMainMenuDialogCreditsButton	src/Battlesport/recoil_state_main_menu_transition.h:99	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMenuBackButton	HudUiMenuBackButton	src/Battlesport/recoil_state_main_menu_transition.h:104	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
HudUiMainMenuDialog_SaveButton	CHudUiMainMenuDialogSaveButton	src/Battlesport/recoil_state_main_menu_transition.h:118	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMainMenuDialog_LoadButton	CHudUiMainMenuDialogLoadButton	src/Battlesport/recoil_state_main_menu_transition.h:123	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMainMenuDialog_NewGameButton	CHudUiMainMenuDialogNewGameButton	src/Battlesport/recoil_state_main_menu_transition.h:128	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMainMenuDialog_OptionsButton	CHudUiMainMenuDialogOptionsButton	src/Battlesport/recoil_state_main_menu_transition.h:133	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMainMenuDialog_QuitButton	CHudUiMainMenuDialogQuitButton	src/Battlesport/recoil_state_main_menu_transition.h:138	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMainMenuDialog_ControlsButton	CHudUiMainMenuDialogControlsButton	src/Battlesport/recoil_state_main_menu_transition.h:143	class/interface	renamed	Same-engine default / inferred	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
HudUiMainMenuDialog	HudUiMainMenuDialog	src/Battlesport/recoil_state_main_menu_transition.h:155	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zTurret_Runtime	zTurret_Runtime	src/Battlesport/turret.h:18	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
CDialogProviderAccessor	CDialogProviderAccessor	src/Battlesport/WOL.cpp:421	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeCDialogMessageMapAccessor	WestwoodOnlineUpgradeCDialogMessageMapAccessor	src/Battlesport/WOL.cpp:577	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeSharedComRefCountOwner	WestwoodOnlineUpgradeSharedComRefCountOwner	src/Battlesport/WOL.cpp:1068	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeBootstrapServerRecord	WestwoodOnlineUpgradeBootstrapServerRecord	src/Battlesport/wol_api.h:14	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeBrowseRecord	WestwoodOnlineUpgradeBrowseRecord	src/Battlesport/wol_api.h:25	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeConnectContext	WestwoodOnlineUpgradeConnectContext	src/Battlesport/wol_api.h:38	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeSessionRequest	WestwoodOnlineUpgradeSessionRequest	src/Battlesport/wol_api.h:43	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeQueryRequest	WestwoodOnlineUpgradeQueryRequest	src/Battlesport/wol_api.h:52	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
IWestwoodOnlineUpgradeProviderApi	IWestwoodOnlineUpgradeProviderApi	src/Battlesport/wol_api.h:68	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
IWestwoodOnlineUpgradeProviderApiCallbacks	IWestwoodOnlineUpgradeProviderApiCallbacks	src/Battlesport/wol_api.h:156	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeApiInitState	WestwoodOnlineUpgradeApiInitState	src/Battlesport/wol_api.h:204	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeApi	WestwoodOnlineUpgradeApi	src/Battlesport/wol_api.h:223	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeApiEventSink	WestwoodOnlineUpgradeApiEventSink	src/Battlesport/wol_api_event_sink.h:17	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeConfigDialog	WestwoodOnlineUpgradeConfigDialog	src/Battlesport/wol_config_dialog.h:15	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeProgressDialog	WestwoodOnlineUpgradeProgressDialog	src/Battlesport/wol_dialog.h:22	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeDialog	WestwoodOnlineUpgradeDialog	src/Battlesport/wol_dialog.h:53	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeDownload	WestwoodOnlineUpgradeDownload	src/Battlesport/wol_download.h:12	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
IWestwoodOnlineUpgradeDownload	IWestwoodOnlineUpgradeDownload	src/Battlesport/wol_download.h:17	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeDownloadReadyEntry	WestwoodOnlineUpgradeDownloadReadyEntry	src/Battlesport/wol_download.h:30	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeDownloadEventSink	WestwoodOnlineUpgradeDownloadEventSink	src/Battlesport/wol_download.h:49	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeRefCountAndLock	WestwoodOnlineUpgradeRefCountAndLock	src/Battlesport/wol_ref_count_and_lock.h:10	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
MfcWindowValidityTarget	MfcWindowValidityTarget	src/CZGameFrame/CZGameFrame.cpp:54	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
CZGameFrame	CZGameFrame	src/CZGameFrame/CZGameFrame.h:25	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
OptCatalogTrailNodeSlot	OptCatalogTrailNodeSlot	src/GameZRecoil/include/opt_catalog.h:24	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
OptCatalogTrailRuntimeState	OptCatalogTrailRuntimeState	src/GameZRecoil/include/opt_catalog.h:31	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
OptCatalogFxSpec	OptCatalogFxSpec	src/GameZRecoil/include/opt_catalog.h:54	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
OptCatalogDamageFeedbackVariant	OptCatalogDamageFeedbackVariant	src/GameZRecoil/include/opt_catalog.h:68	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
OptCatalogRuntimeInstanceStorage	OptCatalogRuntimeInstanceStorage	src/GameZRecoil/include/opt_catalog.h:73	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
OptCatalogDamageMaskSurface	OptCatalogDamageMaskSurface	src/GameZRecoil/include/opt_catalog.h:101	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
OptCatalogSurfaceTextureHandle	OptCatalogSurfaceTextureHandle	src/GameZRecoil/include/opt_catalog.h:111	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
OptCatalogSurfaceMaterialRef	OptCatalogSurfaceMaterialRef	src/GameZRecoil/include/opt_catalog.h:116	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
OptCatalogHitEventPartial	OptCatalogHitEventPartial	src/GameZRecoil/include/opt_catalog.h:127	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
OptCatalogEntryDef	OptCatalogEntryDef	src/GameZRecoil/include/opt_catalog.h:141	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_NodePartial	zClass_NodePartial	src/GameZRecoil/include/zClass.h:21	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_TypeListLink	zClass_TypeListLink	src/GameZRecoil/include/zClass.h:44	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_TypeListBucket	zClass_TypeListBucket	src/GameZRecoil/include/zClass.h:51	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_NodeFreeListSlot	zClass_NodeFreeListSlot	src/GameZRecoil/include/zClass.h:60	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
OptCatalogDamageHandlerPartial	OptCatalogDamageHandlerPartial	src/GameZRecoil/include/zClass.h:68	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_WindowClearPoly	zClass_WindowClearPoly	src/GameZRecoil/include/zClass.h:90	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_WindowDataPartial	zClass_WindowDataPartial	src/GameZRecoil/include/zClass.h:95	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_DisplayDataPartial	zClass_DisplayDataPartial	src/GameZRecoil/include/zClass.h:109	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zColorRgb	zColorRgb	src/GameZRecoil/include/zClass.h:119	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zWorldAreaPartial	zWorldAreaPartial	src/GameZRecoil/include/zClass.h:125	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_WorldDataPartial	zClass_WorldDataPartial	src/GameZRecoil/include/zClass.h:139	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_WorldSettingsSectionRecord	zClass_WorldSettingsSectionRecord	src/GameZRecoil/include/zClass.h:184	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_SoundDataPartial	zClass_SoundDataPartial	src/GameZRecoil/include/zClass.h:194	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_SequenceEntryPartial	zClass_SequenceEntryPartial	src/GameZRecoil/include/zClass.h:211	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_SequenceDataPartial	zClass_SequenceDataPartial	src/GameZRecoil/include/zClass.h:216	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_SwitchDataPartial	zClass_SwitchDataPartial	src/GameZRecoil/include/zClass.h:228	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zTag4Partial	zTag4Partial	src/GameZRecoil/include/zClass.h:233	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_Object3DDataPartial	zClass_Object3DDataPartial	src/GameZRecoil/include/zClass.h:238	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_LodDataPartial	zClass_LodDataPartial	src/GameZRecoil/include/zClass.h:249	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_LightDataPartial	zClass_LightDataPartial	src/GameZRecoil/include/zClass.h:266	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_AnimateKeyframePartial	zClass_AnimateKeyframePartial	src/GameZRecoil/include/zClass.h:295	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_AnimateRuntimePartial	zClass_AnimateRuntimePartial	src/GameZRecoil/include/zClass.h:301	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_AnimateDataPartial	zClass_AnimateDataPartial	src/GameZRecoil/include/zClass.h:321	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_CameraDataPartial	zClass_CameraDataPartial	src/GameZRecoil/include/zClass.h:329	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_ZbdHeader	zClass_ZbdHeader	src/GameZRecoil/include/zClass.h:377	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_RenderColorAlphaState	zClass_RenderColorAlphaState	src/GameZRecoil/include/zClass.h:389	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_LodDistanceState	zClass_LodDistanceState	src/GameZRecoil/include/zClass.h:394	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zCamera_FrustumGridTilePartial	zCamera_FrustumGridTilePartial	src/GameZRecoil/include/zClass.h:1890	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zCamera_FrustumGridTileRingPartial	zCamera_FrustumGridTileRingPartial	src/GameZRecoil/include/zClass.h:1899	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_Object3D_ModelRefLerpTask	zClass_Object3D_ModelRefLerpTask	src/GameZRecoil/include/zClass.h:2398	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_Object3D_ModelRefLerpQueueState	zClass_Object3D_ModelRefLerpQueueState	src/GameZRecoil/include/zClass.h:2452	class/interface	retained	Inferred or retained external spelling	Inferred class spelling: constructor/virtual evidence and documented class-prefix default; preserve class model.
zClipAltFloatRect	zClipAltFloatRect	src/GameZRecoil/include/zclip_alt.h:13	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClipRectPartial	zClipRectPartial	src/GameZRecoil/include/zclip_rect.h:10	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClipVert	zClipVert	src/GameZRecoil/include/zclip_rect.h:22	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClipUV	zClipUV	src/GameZRecoil/include/zclip_rect.h:28	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zBoundsMinMaxPartial	zBoundsMinMaxPartial	src/GameZRecoil/include/zDi.h:15	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zModel_PointEntryPartial	zModel_PointEntryPartial	src/GameZRecoil/include/zDi.h:22	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zDiPartial	zDiPartial	src/GameZRecoil/include/zDi.h:38	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zModel_MaterialPartial	zModel_MaterialPartial	src/GameZRecoil/include/zDi.h:61	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zModel_MaterialCyclePartial	zModel_MaterialCyclePartial	src/GameZRecoil/include/zDi.h:73	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zDiEntryPartial	zDiEntryPartial	src/GameZRecoil/include/zDi.h:83	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClassDiPickCandidateEntry	zClassDiPickCandidateEntry	src/GameZRecoil/include/zDi.h:95	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
PlayerProbeSampleCandidateBuffer	PlayerProbeSampleCandidateBuffer	src/GameZRecoil/include/zDi.h:104	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
OptCatalogRaycastHitEntry	OptCatalogRaycastHitEntry	src/GameZRecoil/include/zDi.h:109	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
OptCatalogRaycastHitList	OptCatalogRaycastHitList	src/GameZRecoil/include/zDi.h:118	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_DiSegmentEndpoints	zClass_DiSegmentEndpoints	src/GameZRecoil/include/zDi.h:123	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_DiSegmentBounds	zClass_DiSegmentBounds	src/GameZRecoil/include/zDi.h:128	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_DiRaycastFilterRuntime	zClass_DiRaycastFilterRuntime	src/GameZRecoil/include/zDi.h:141	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zModel_PickFaceUvData	zModel_PickFaceUvData	src/GameZRecoil/include/zDi.h:161	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zModel_PickFaceScenePayload	zModel_PickFaceScenePayload	src/GameZRecoil/include/zDi.h:165	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zModel_PickFaceEntry	zModel_PickFaceEntry	src/GameZRecoil/include/zDi.h:169	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zModel_PickFaceData	zModel_PickFaceData	src/GameZRecoil/include/zDi.h:179	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zImage_TexDirEntryPartial	zImage_TexDirEntryPartial	src/GameZRecoil/include/zImage.h:15	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zImage_Font	zImage_Font	src/GameZRecoil/include/zImage.h:26	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
WestwoodOnlineUpgradeProgressCDialogMessageMapAccessor	WestwoodOnlineUpgradeProgressCDialogMessageMapAccessor	src/GameZRecoil/westwoodonline/WolapiProgressDialog.cpp:35	class/interface	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_CameraViewTargetStatePartial	zClass_CameraViewTargetStatePartial	src/GameZRecoil/zClass/Class.c:207	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zClass_CameraBBoxQueryDataPartial	zClass_CameraBBoxQueryDataPartial	src/GameZRecoil/zClass/Class.c:217	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zStub	zStub	src/GameZRecoil/zClass/cls_stubs.h:5	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
InterfaceMapEntry	InterfaceMapEntry	src/GameZRecoil/zCom/zcom.h:25	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zDEClient_FeatureGridCell	zDEClient_FeatureGridCell	src/GameZRecoil/zDEClient/zdec.h:25	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zDEClient_CameraNodeClassDataPartial	zDEClient_CameraNodeClassDataPartial	src/GameZRecoil/zDEClient/zdec.h:39	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zDEClient_QSandEventTemplate	zDEClient_QSandEventTemplate	src/GameZRecoil/zDEClient/zdec.h:44	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zDEClient_CraterEventTemplate	zDEClient_CraterEventTemplate	src/GameZRecoil/zDEClient/zdec.h:56	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zDEClient_FeatureEntry	zDEClient_FeatureEntry	src/GameZRecoil/zDEClient/zdec.h:72	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zDEClient_CraterDisplaySourceEntry	zDEClient_CraterDisplaySourceEntry	src/GameZRecoil/zDEClient/zdec.h:78	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zDEClient_QSandFeature	zDEClient_QSandFeature	src/GameZRecoil/zDEClient/zdec.h:84	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zDEClient_CraterFeature	zDEClient_CraterFeature	src/GameZRecoil/zDEClient/zdec.h:97	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
zDEClient_FeatureContextOverlapView	zDEClient_FeatureContextOverlapView	src/GameZRecoil/zDEClient/zdec.h:111	record/other	retained	Inferred or retained external spelling	Retain existing meaningful spelling; records, provider declarations and incomplete source models receive no automatic class prefix.
